topic_id,top_words,consumer_type,consumer_scene
0,"hi, which, there, would, wine, chef, menu, regular, here, tast",0,
1,"room, fragrant, chef, end, right, white, scallop, korean, tempura, impact",1,
2,"hi, sauc, dress, green, seafood, arriv, prefectur, langoustin, where, team",2,
3,"moon, chef, room, meat, contemporari, admir, counter, dish, tender, singl",3,
4,"korean, salt, where, soy, welcom, piec, savori, through, find, deliv",4,
5,"spot, chef, classic, bar, bold, dine, kitchen, those, counter, order",5,
6,"staff, grill, them, display, know, indian, well, counter, one, dessert",6,
7,"youv, nestl, cuisin, chef, like, will, insid, excel, your, masteri",7,
